損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元,"193,391.66","259,621.00",74.49,"386,181.11","251,940.00",153.28,"490,421.77","262,063.00",187.14,      CNY  中国元,"303,659.12","314,590.00",96.53,"340,587.77","314,092.00",108.44,"396,153.50","266,724.00",148.53,      CNY  中国元, , , ,"327,694.54", , ,"-327,694.54", , ,      CNY  中国元, , , , , , , , , 
*     6112503  事業-機内飲料品費, ,"15,300.00", , ,"15,810.00", , ,"15,300.00", ,*     6112503  事業-機内飲料品費, ,"15,810.00", , ,"15,810.00", , ,"15,300.00", ,*     6112503  事業-機内飲料品費, , , , , , , , , ,*     6112503  事業-機内飲料品費, , , , , , , , , 
      CNY  中国元, ,"15,300.00", , ,"15,810.00", , ,"15,300.00", ,      CNY  中国元, ,"15,810.00", , ,"15,810.00", , ,"15,300.00", ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112509  事業-客室ｻｰﾋﾞｽ費, ,"6,200.00", , ,"6,400.00", , ,"6,200.00", ,*     6112509  事業-客室ｻｰﾋﾞｽ費, ,"6,400.00", , ,"6,400.00", , ,"6,200.00", ,*     6112509  事業-客室ｻｰﾋﾞｽ費, , , , , , , , , ,*     6112509  事業-客室ｻｰﾋﾞｽ費, , , , , , , , , 
      CNY  中国元, ,"6,200.00", , ,"6,400.00", , ,"6,200.00", ,      CNY  中国元, ,"6,400.00", , ,"6,400.00", , ,"6,200.00", ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    地上サービス費(事業),,"88,934.00",,,"88,934.00",,,"91,934.00",,**    地上サービス費(事業),,"94,934.00",,,"94,934.00",,,"94,934.00",,**    地上サービス費(事業),,"3,000.00",,,"3,000.00",,,"6,000.00",,**    地上サービス費(事業),,"3,000.00",,, ,,,"4,000.00",
*     6112601  事業-臨時貨客費,,"6,512.00",,,"6,512.00",,,"6,512.00",,*     6112601  事業-臨時貨客費,,"6,512.00",,,"6,512.00",,,"6,512.00",,*     6112601  事業-臨時貨客費,, ,,, ,,, ,,*     6112601  事業-臨時貨客費,, ,,, ,,, ,
      CNY  中国元, ,"6,512.00", , ,"6,512.00", ,300.00,"6,512.00",4.61,      CNY  中国元,"10,859.21","6,512.00",166.76,123.00,"6,512.00",1.89,"1,194.40","6,512.00",18.34,      CNY  中国元,"1,270.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
      JPY  日本円,"9,600", , ,"8,900", , , , , ,      JPY  日本円,"2,400", , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
*     6112604  事業-ﾗｳﾝｼﾞ費,"111,000.00","82,422.00",134.67,"63,000.00","82,422.00",76.44,"73,400.00","82,422.00",89.05,*     6112604  事業-ﾗｳﾝｼﾞ費,"71,200.00","82,422.00",86.38,"88,400.00","82,422.00",107.25,"118,400.00","82,422.00",143.65,*     6112604  事業-ﾗｳﾝｼﾞ費,"120,200.00", , , , , , , , ,*     6112604  事業-ﾗｳﾝｼﾞ費, , , , , , , , , 
