損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
**    旅費交通費(事業),, ,,, ,,, ,,**    旅費交通費(事業),, ,,, ,,, ,,**    旅費交通費(事業),,8554 ,,,15074 ,,,12404 ,,**    旅費交通費(事業),,18924 ,,,8554 ,,,8554 ,
*     6114601  事業-国内出張旅費, , , , , , , , , ,*     6114601  事業-国内出張旅費, , , , , , , , , ,*     6114601  事業-国内出張旅費, ,2254 , ,9814 ,2254 ,435 ,6974 ,2254 ,309 ,*     6114601  事業-国内出張旅費, ,2254 , , ,2254 , , ,2254 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,2254 , ,9814 ,2254 ,435 ,6974 ,2254 ,309 ,      CNY  中国元, ,2254 , , ,2254 , , ,2254 , 
*     6114602  事業-海外出張旅費, , , , , , , , , ,*     6114602  事業-海外出張旅費, , , , , , , , , ,*     6114602  事業-海外出張旅費, , , ,27276 ,6520 ,418 , ,3850 , ,*     6114602  事業-海外出張旅費, ,10370 , , , , , , , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , ,6520 , , ,3850 , ,      CNY  中国元, ,10370 , , , , , , , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , ,27276 , , , , , ,      JPY  日本円, , , , , , , , , 
*     6114603  事業-外出交通費, , , , , , , , , ,*     6114603  事業-外出交通費, , , , , , , , , ,*     6114603  事業-外出交通費, ,2260 , ,1001 ,2260 ,44 ,372 ,2260 ,16 ,*     6114603  事業-外出交通費, ,2260 , , ,2260 , , ,2260 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,2260 , ,1001 ,2260 ,44 ,372 ,2260 ,16 ,      CNY  中国元, ,2260 , , ,2260 , , ,2260 , 
*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤, , , , , , , , , ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤, , , , , , , , , ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤, ,4040 , ,4979 ,4040 ,123 ,705 ,4040 ,17 ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤, ,4040 , , ,4040 , , ,4040 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,4040 , ,4979 ,4040 ,123 ,705 ,4040 ,17 ,      CNY  中国元, ,4040 , , ,4040 , , ,4040 , 
**    乗務旅費(事業), , , , , , , , , ,**    乗務旅費(事業), , , , , , , , , ,**    乗務旅費(事業), ,59520 , , ,57600 , , ,59520 , ,**    乗務旅費(事業), ,59520 , , ,53760 , , ,59520 , 
*     6114706  事業-運航宿泊室料, , , , , , , , , ,*     6114706  事業-運航宿泊室料, , , , , , , , , ,*     6114706  事業-運航宿泊室料, ,59520 , , ,57600 , , ,59520 , ,*     6114706  事業-運航宿泊室料, ,59520 , , ,53760 , , ,59520 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,59520 , , ,57600 , , ,59520 , ,      CNY  中国元, ,59520 , , ,53760 , , ,59520 , 
**    通信費(事業), , , , , , , , , ,**    通信費(事業), , , , , , , , , ,**    通信費(事業), ,32841 , ,9796 ,32841 ,30 ,9279 ,32841 ,28 ,**    通信費(事業), ,32841 , , ,32841 , , ,32841 , 
*     6114801  事業-通信費, , , , , , , , , ,*     6114801  事業-通信費, , , , , , , , , ,*     6114801  事業-通信費, ,32841 , ,9796 ,32841 ,30 ,9279 ,32841 ,28 ,*     6114801  事業-通信費, ,32841 , , ,32841 , , ,32841 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,32841 , ,9796 ,32841 ,30 ,9279 ,32841 ,28 ,      CNY  中国元, ,32841 , , ,32841 , , ,32841 , 
**    一般消耗品費(事業), , , , , , , , , ,**    一般消耗品費(事業), , , , , , , , , ,**    一般消耗品費(事業), ,5355 , ,3705 ,4935 ,75 ,2238 ,4935 ,45 ,**    一般消耗品費(事業), ,4935 , , ,4935 , , ,4935 , 
*     6114901  事業-一般消耗品費, , , , , , , , , ,*     6114901  事業-一般消耗品費, , , , , , , , , ,*     6114901  事業-一般消耗品費, ,3955 , ,3705 ,3535 ,105 ,2238 ,3535 ,63 ,*     6114901  事業-一般消耗品費, ,3535 , , ,3535 , , ,3535 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,3955 , ,3705 ,3535 ,105 ,2238 ,3535 ,63 ,      CNY  中国元, ,3535 , , ,3535 , , ,3535 , 
