損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元,149 ,200 ,75 , ,200 , , ,200 , ,      CNY  中国元, ,200 , , ,200 , , ,200 , ,      CNY  中国元, ,200 , , ,200 , , ,200 , ,      CNY  中国元, ,200 , , ,200 , , ,200 , 
*     7115005  販管-ｼｽﾃﾑ補修維持費, ,480 , , ,480 , , ,480 , ,*     7115005  販管-ｼｽﾃﾑ補修維持費,300 ,480 ,63 , ,480 , , ,480 , ,*     7115005  販管-ｼｽﾃﾑ補修維持費, ,480 , , ,480 , , ,480 , ,*     7115005  販管-ｼｽﾃﾑ補修維持費, ,480 , , ,480 , , ,480 , 
      CNY  中国元, ,480 , , ,480 , , ,480 , ,      CNY  中国元,300 ,480 ,63 , ,480 , , ,480 , ,      CNY  中国元, ,480 , , ,480 , , ,480 , ,      CNY  中国元, ,480 , , ,480 , , ,480 , 
**    賃借費(販管),,66004 ,,,66004 ,,,66004 ,,**    賃借費(販管),,66004 ,,,66004 ,,,66004 ,,**    賃借費(販管),,66004 ,,,66004 ,,,66004 ,,**    賃借費(販管),,66004 ,,,66004 ,,,66004 ,
*     7115101  販管-建物賃借費,29648 ,28964 ,102 ,5017 ,28964 ,17 ,23946 ,28964 ,83 ,*     7115101  販管-建物賃借費,23946 ,28964 ,83 , ,28964 , ,23946 ,28964 ,83 ,*     7115101  販管-建物賃借費,77997 ,28964 ,269 ,25246 ,28964 ,87 , ,28964 , ,*     7115101  販管-建物賃借費, ,28964 , , ,28964 , , ,28964 , 
      CNY  中国元,29648 ,28964 ,102 ,5017 ,28964 ,17 ,23946 ,28964 ,83 ,      CNY  中国元,23946 ,28964 ,83 , ,28964 , ,23946 ,28964 ,83 ,      CNY  中国元,77997 ,28964 ,269 ,25246 ,28964 ,87 , ,28964 , ,      CNY  中国元, ,28964 , , ,28964 , , ,28964 , 
*     7115103  販管-設備機器賃借費,2300 ,1500 ,153 ,1400 ,1500 ,93 ,1400 ,1500 ,93 ,*     7115103  販管-設備機器賃借費,1400 ,1500 ,93 ,1400 ,1500 ,93 ,2300 ,1500 ,153 ,*     7115103  販管-設備機器賃借費,1400 ,1500 ,93 , ,1500 , , ,1500 , ,*     7115103  販管-設備機器賃借費, ,1500 , , ,1500 , , ,1500 , 
      CNY  中国元,2300 ,1500 ,153 ,1400 ,1500 ,93 ,1400 ,1500 ,93 ,      CNY  中国元,1400 ,1500 ,93 ,1400 ,1500 ,93 ,2300 ,1500 ,153 ,      CNY  中国元,1400 ,1500 ,93 , ,1500 , , ,1500 , ,      CNY  中国元, ,1500 , , ,1500 , , ,1500 , 
*     7115105  販管-車両賃借費,32512 ,35540 ,91 ,30267 ,35540 ,85 ,35033 ,35540 ,99 ,*     7115105  販管-車両賃借費,32822 ,35540 ,92 ,32284 ,35540 ,91 ,64757 ,35540 ,182 ,*     7115105  販管-車両賃借費,3200 ,35540 ,9 ,35718 ,35540 ,101 , ,35540 , ,*     7115105  販管-車両賃借費, ,35540 , , ,35540 , , ,35540 , 
      CNY  中国元,32512 ,35540 ,91 ,30267 ,35540 ,85 ,35033 ,35540 ,99 ,      CNY  中国元,32822 ,35540 ,92 ,32284 ,35540 ,91 ,64757 ,35540 ,182 ,      CNY  中国元,3200 ,35540 ,9 ,35718 ,35540 ,101 , ,35540 , ,      CNY  中国元, ,35540 , , ,35540 , , ,35540 , 
*     7115108  販管-ﾘｰｽ資産賃借費,27900 , , ,27900 , , ,27900 , , ,*     7115108  販管-ﾘｰｽ資産賃借費,27900 , , ,27900 , , ,27900 , , ,*     7115108  販管-ﾘｰｽ資産賃借費,27900 , , ,27900 , , , , , ,*     7115108  販管-ﾘｰｽ資産賃借費, , , , , , , , , 
      JPY  日本円,27900 , , ,27900 , , ,27900 , , ,      JPY  日本円,27900 , , ,27900 , , ,27900 , , ,      JPY  日本円,27900 , , ,27900 , , , , , ,      JPY  日本円, , , , , , , , , 
**    水道光熱費(販管),(5017),1100 ,(456),1651 ,1100 ,150 ,883 ,1100 ,80 ,**    水道光熱費(販管),743 ,1100 ,68 , ,1100 , ,1689 ,1100 ,154 ,**    水道光熱費(販管),736 ,1100 ,67 , ,1100 , , ,1100 , ,**    水道光熱費(販管), ,1100 , , ,1100 , , ,1100 , 
*     7115201  販管-水道光熱費,(5017),1100 ,(456),1651 ,1100 ,150 ,883 ,1100 ,80 ,*     7115201  販管-水道光熱費,743 ,1100 ,68 , ,1100 , ,1689 ,1100 ,154 ,*     7115201  販管-水道光熱費,736 ,1100 ,67 , ,1100 , , ,1100 , ,*     7115201  販管-水道光熱費, ,1100 , , ,1100 , , ,1100 , 
      CNY  中国元,(5017),1100 ,(456),1651 ,1100 ,150 ,883 ,1100 ,80 ,      CNY  中国元,743 ,1100 ,68 , ,1100 , ,1689 ,1100 ,154 ,      CNY  中国元,736 ,1100 ,67 , ,1100 , , ,1100 , ,      CNY  中国元, ,1100 , , ,1100 , , ,1100 , 
**    租税公課(販管),,590 ,,,2140 ,,,67023 ,,**    租税公課(販管),,540 ,,,540 ,,,540 ,,**    租税公課(販管),,540 ,,,540 ,,,540 ,,**    租税公課(販管),,540 ,,,540 ,,,540 ,
*     7115304  販管-印紙税, ,50 , , , , , , , ,*     7115304  販管-印紙税, , , , , , , , , ,*     7115304  販管-印紙税, , , , , , , , , ,*     7115304  販管-印紙税, , , , , , , , , 
      CNY  中国元, ,50 , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     7115305  販管-登録免許税,,540 ,,,2140 ,,,540 ,,*     7115305  販管-登録免許税,,540 ,,,540 ,,,540 ,,*     7115305  販管-登録免許税,,540 ,,,540 ,,,540 ,,*     7115305  販管-登録免許税,,540 ,,,540 ,,,540 ,
      CNY  中国元,15 ,540 ,3 , ,2140 , ,800 ,540 ,148 ,      CNY  中国元, ,540 , , ,540 , , ,540 , ,      CNY  中国元,1820 ,540 ,337 ,30 ,540 ,6 , ,540 , ,      CNY  中国元, ,540 , , ,540 , , ,540 , 
      JPY  日本円, , , ,21000 , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
*     7115399  販管-その他の租税公課, , , , , , , ,66483 , ,*     7115399  販管-その他の租税公課, , , , , , , , , ,*     7115399  販管-その他の租税公課, , , , , , , , , ,*     7115399  販管-その他の租税公課, , , , , , , , , 
      CNY  中国元, , , , , , , ,66483 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    会議費(販管),(1202),417 ,(288), ,417 , , ,417 , ,**    会議費(販管),1083 ,417 ,260 , ,417 , ,2786 ,417 ,668 ,**    会議費(販管),14 ,417 ,3 , ,417 , , ,417 , ,**    会議費(販管), ,417 , , ,417 , , ,417 , 
*     7115701  販管-会議費,(1202),417 ,(288), ,417 , , ,417 , ,*     7115701  販管-会議費,1083 ,417 ,260 , ,417 , ,2786 ,417 ,668 ,*     7115701  販管-会議費,14 ,417 ,3 , ,417 , , ,417 , ,*     7115701  販管-会議費, ,417 , , ,417 , , ,417 , 
      CNY  中国元,(1202),417 ,(288), ,417 , , ,417 , ,      CNY  中国元,1083 ,417 ,260 , ,417 , ,2786 ,417 ,668 ,      CNY  中国元,14 ,417 ,3 , ,417 , , ,417 , ,      CNY  中国元, ,417 , , ,417 , , ,417 , 
**    交際費(販管),2511 ,3083 ,81 ,949 ,3083 ,31 ,2854 ,3083 ,93 ,**    交際費(販管),3300 ,3083 ,107 ,327 ,3083 ,11 ,3380 ,3083 ,110 ,**    交際費(販管),4484 ,3083 ,145 ,5608 ,3083 ,182 , ,3083 , ,**    交際費(販管), ,3083 , , ,3083 , , ,3083 , 
*     7115801  販管-交際費,2511 ,3083 ,81 ,949 ,3083 ,31 ,2854 ,3083 ,93 ,*     7115801  販管-交際費,3300 ,3083 ,107 ,327 ,3083 ,11 ,3380 ,3083 ,110 ,*     7115801  販管-交際費,4484 ,3083 ,145 ,5608 ,3083 ,182 , ,3083 , ,*     7115801  販管-交際費, ,3083 , , ,3083 , , ,3083 , 
      CNY  中国元,2511 ,3083 ,81 ,949 ,3083 ,31 ,2854 ,3083 ,93 ,      CNY  中国元,3300 ,3083 ,107 ,327 ,3083 ,11 ,3380 ,3083 ,110 ,      CNY  中国元,4484 ,3083 ,145 ,5608 ,3083 ,182 , ,3083 , ,      CNY  中国元, ,3083 , , ,3083 , , ,3083 , 
**    保守管理費(販管),726 ,2452 ,30 ,726 ,2452 ,30 ,5256 ,2452 ,214 ,**    保守管理費(販管),1452 ,2452 ,59 , ,2452 , ,5256 ,2452 ,214 ,**    保守管理費(販管),726 ,2452 ,30 ,5256 ,2452 ,214 , ,2452 , ,**    保守管理費(販管), ,2452 , , ,2452 , , ,2452 , 
*     7116001  販管-ビル管理費,726 ,2452 ,30 ,726 ,2452 ,30 ,5256 ,2452 ,214 ,*     7116001  販管-ビル管理費,1452 ,2452 ,59 , ,2452 , ,5256 ,2452 ,214 ,*     7116001  販管-ビル管理費,726 ,2452 ,30 ,5256 ,2452 ,214 , ,2452 , ,*     7116001  販管-ビル管理費, ,2452 , , ,2452 , , ,2452 , 
      CNY  中国元,726 ,2452 ,30 ,726 ,2452 ,30 ,5256 ,2452 ,214 ,      CNY  中国元,1452 ,2452 ,59 , ,2452 , ,5256 ,2452 ,214 ,      CNY  中国元,726 ,2452 ,30 ,5256 ,2452 ,214 , ,2452 , ,      CNY  中国元, ,2452 , , ,2452 , , ,2452 , 
**    雑費(販管),,3157 ,,,14457 ,,,6957 ,,**    雑費(販管),,1957 ,,,1957 ,,,1957 ,,**    雑費(販管),,1957 ,,,1957 ,,,1957 ,,**    雑費(販管),,1957 ,,,1957 ,,,1957 ,
*     7117003  販管-諸会費,1200 ,1200 ,100 , , , , , , ,*     7117003  販管-諸会費, , , , , , , , , ,*     7117003  販管-諸会費, , , , , , , , , ,*     7117003  販管-諸会費, , , , , , , , , 
      CNY  中国元,1200 ,1200 ,100 , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     7117005  販管-郵便運送費,,320 ,,,320 ,,,320 ,,*     7117005  販管-郵便運送費,,320 ,,,320 ,,,320 ,,*     7117005  販管-郵便運送費,,320 ,,,320 ,,,320 ,,*     7117005  販管-郵便運送費,,320 ,,,320 ,,,320 ,
      CNY  中国元,207 ,320 ,65 ,188 ,320 ,59 ,288 ,320 ,90 ,      CNY  中国元,2799 ,320 ,875 ,178 ,320 ,56 ,376 ,320 ,118 ,      CNY  中国元,200 ,320 ,63 ,33 ,320 ,10 , ,320 , ,      CNY  中国元, ,320 , , ,320 , , ,320 , 
      JPY  日本円,800 , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
*     7117006  販管-送金手数料,396 ,220 ,180 ,92 ,220 ,42 ,88 ,220 ,40 ,*     7117006  販管-送金手数料,132 ,220 ,60 ,385 ,220 ,175 ,156 ,220 ,71 ,*     7117006  販管-送金手数料,156 ,220 ,71 ,120 ,220 ,55 , ,220 , ,*     7117006  販管-送金手数料, ,220 , , ,220 , , ,220 , 
      CNY  中国元,396 ,220 ,180 ,92 ,220 ,42 ,88 ,220 ,40 ,      CNY  中国元,132 ,220 ,60 ,385 ,220 ,175 ,156 ,220 ,71 ,      CNY  中国元,156 ,220 ,71 ,120 ,220 ,55 , ,220 , ,      CNY  中国元, ,220 , , ,220 , , ,220 , 
*     7117007  販管-報酬料, ,1250 , , ,11250 , ,9604 ,6250 ,154 ,*     7117007  販管-報酬料, ,1250 , ,1500 ,1250 ,120 , ,1250 , ,*     7117007  販管-報酬料, ,1250 , , ,1250 , , ,1250 , ,*     7117007  販管-報酬料, ,1250 , , ,1250 , , ,1250 , 
      CNY  中国元, ,1250 , , ,11250 , ,9604 ,6250 ,154 ,      CNY  中国元, ,1250 , ,1500 ,1250 ,120 , ,1250 , ,      CNY  中国元, ,1250 , , ,1250 , , ,1250 , ,      CNY  中国元, ,1250 , , ,1250 , , ,1250 , 
*     7117099  販管-雑費一般, ,167 , , ,2667 , , ,167 , ,*     7117099  販管-雑費一般, ,167 , ,4500 ,167 ,2695 , ,167 , ,*     7117099  販管-雑費一般, ,167 , , ,167 , , ,167 , ,*     7117099  販管-雑費一般, ,167 , , ,167 , , ,167 , 
      CNY  中国元, ,167 , , ,2667 , , ,167 , ,      CNY  中国元, ,167 , ,4500 ,167 ,2695 , ,167 , ,      CNY  中国元, ,167 , , ,167 , , ,167 , ,      CNY  中国元, ,167 , , ,167 , , ,167 , 
****  営業外損益,, ,,, ,,, ,,****  営業外損益,, ,,, ,,, ,,****  営業外損益,, ,,, ,,, ,,****  営業外損益,, ,,, ,,, ,
***   営業外収益,(27300), , ,(175000), , ,(31191), , ,***   営業外収益, , , , , , ,(130951), , ,***   営業外収益,(160000), , ,(131800), , , , , ,***   営業外収益, , , , , , , , , 
**    受取利息, , , , , , ,(15191), , ,**    受取利息, , , , , , ,(20951), , ,**    受取利息, , , , , , , , , ,**    受取利息, , , , , , , , , 
*     8211001  受取利息, , , , , , ,(15191), , ,*     8211001  受取利息, , , , , , ,(20951), , ,*     8211001  受取利息, , , , , , , , , ,*     8211001  受取利息, , , , , , , , , 
      CNY  中国元, , , , , , ,(15191), , ,      CNY  中国元, , , , , , ,(20951), , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    雑収入,(27300), , ,(175000), , ,(16000), , ,**    雑収入, , , , , , ,(110000), , ,**    雑収入,(160000), , ,(131800), , , , , ,**    雑収入, , , , , , , , , 
*     8219901  雑収入,(27300), , ,(175000), , ,(16000), , ,*     8219901  雑収入, , , , , , ,(110000), , ,*     8219901  雑収入,(160000), , ,(131800), , , , , ,*     8219901  雑収入, , , , , , , , , 
      CNY  中国元,(27300), , ,(175000), , ,(16000), , ,      CNY  中国元, , , , , , ,(110000), , ,      CNY  中国元,(160000), , ,(131800), , , , , ,      CNY  中国元, , , , , , , , , 
***   営業外費用, , , , , , , , , ,***   営業外費用,45418 , , , , , , , , ,***   営業外費用, , , , , , , , , ,***   営業外費用, , , , , , , , , 
**    固定資産除却損, , , , , , , , , ,**    固定資産除却損,45418 , , , , , , , , ,**    固定資産除却損, , , , , , , , , ,**    固定資産除却損, , , , , , , , , 
*     8612099  その他の固定資産除却損, , , , , , , , , ,*     8612099  その他の固定資産除却損,45418 , , , , , , , , ,*     8612099  その他の固定資産除却損, , , , , , , , , ,*     8612099  その他の固定資産除却損, , , , , , , , , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円,45418 , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
