損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元, ,15300 , , ,15810 , , ,15300 , ,      CNY  中国元, ,15810 , , ,15810 , , ,15300 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112509  事業-客室ｻｰﾋﾞｽ費, ,6200 , , ,6400 , , ,6200 , ,*     6112509  事業-客室ｻｰﾋﾞｽ費, ,6400 , , ,6400 , , ,6200 , ,*     6112509  事業-客室ｻｰﾋﾞｽ費, , , , , , , , , ,*     6112509  事業-客室ｻｰﾋﾞｽ費, , , , , , , , , 
      CNY  中国元, ,6200 , , ,6400 , , ,6200 , ,      CNY  中国元, ,6400 , , ,6400 , , ,6200 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    地上サービス費(事業),,88934 ,,,88934 ,,,91934 ,,**    地上サービス費(事業),,94934 ,,,94934 ,,,94934 ,,**    地上サービス費(事業),,3000 ,,,3000 ,,,6000 ,,**    地上サービス費(事業),,3000 ,,, ,,,4000 ,
*     6112601  事業-臨時貨客費,,6512 ,,,6512 ,,,6512 ,,*     6112601  事業-臨時貨客費,,6512 ,,,6512 ,,,6512 ,,*     6112601  事業-臨時貨客費,, ,,, ,,, ,,*     6112601  事業-臨時貨客費,, ,,, ,,, ,
      CNY  中国元, ,6512 , , ,6512 , ,300 ,6512 ,5 ,      CNY  中国元,10859 ,6512 ,167 ,123 ,6512 ,2 ,1194 ,6512 ,18 ,      CNY  中国元,1270 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
      JPY  日本円,9600 , , ,8900 , , , , , ,      JPY  日本円,2400 , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
*     6112604  事業-ﾗｳﾝｼﾞ費,111000 ,82422 ,135 ,63000 ,82422 ,76 ,73400 ,82422 ,89 ,*     6112604  事業-ﾗｳﾝｼﾞ費,71200 ,82422 ,86 ,88400 ,82422 ,107 ,118400 ,82422 ,144 ,*     6112604  事業-ﾗｳﾝｼﾞ費,120200 , , , , , , , , ,*     6112604  事業-ﾗｳﾝｼﾞ費, , , , , , , , , 
      CNY  中国元,111000 ,82422 ,135 ,63000 ,82422 ,76 ,73400 ,82422 ,89 ,      CNY  中国元,71200 ,82422 ,86 ,88400 ,82422 ,107 ,118400 ,82422 ,144 ,      CNY  中国元,120200 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, , , , , , , ,3000 , ,*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, ,6000 , , ,6000 , , ,6000 , ,*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, ,3000 , , ,3000 , , ,6000 , ,*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, ,3000 , , , , , ,4000 , 
      CNY  中国元, , , , , , , ,3000 , ,      CNY  中国元, ,6000 , , ,6000 , , ,6000 , ,      CNY  中国元, ,3000 , , ,3000 , , ,6000 , ,      CNY  中国元, ,3000 , , , , , ,4000 , 
**    職員給与(事業),51180 ,58925 ,87 ,62786 ,58925 ,107 ,63010 ,58925 ,107 ,**    職員給与(事業),153680 ,106667 ,144 ,87602 ,58925 ,149 ,91409 ,58925 ,155 ,**    職員給与(事業),63861 , , , , , , , , ,**    職員給与(事業), , , , , , , , , 
*     6114150  事業-海外職員給与,51180 ,58925 ,87 ,62786 ,58925 ,107 ,63010 ,58925 ,107 ,*     6114150  事業-海外職員給与,153680 ,106667 ,144 ,87602 ,58925 ,149 ,91409 ,58925 ,155 ,*     6114150  事業-海外職員給与,63861 , , , , , , , , ,*     6114150  事業-海外職員給与, , , , , , , , , 
      CNY  中国元,51180 ,58925 ,87 ,62786 ,58925 ,107 ,63010 ,58925 ,107 ,      CNY  中国元,153680 ,106667 ,144 ,87602 ,58925 ,149 ,91409 ,58925 ,155 ,      CNY  中国元,63861 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    厚生費(事業),37600 ,37984 ,99 ,37600 ,37984 ,99 ,42912 ,37984 ,113 ,**    厚生費(事業),37600 ,37984 ,99 ,37819 ,37984 ,100 ,47874 ,37984 ,126 ,**    厚生費(事業),48594 , , , , , , , , ,**    厚生費(事業), , , , , , , , , 
*     6114401  事業-厚生費, ,100 , , ,100 , , ,100 , ,*     6114401  事業-厚生費, ,100 , , ,100 , , ,100 , ,*     6114401  事業-厚生費,994 , , , , , , , , ,*     6114401  事業-厚生費, , , , , , , , , 
      CNY  中国元, ,100 , , ,100 , , ,100 , ,      CNY  中国元, ,100 , , ,100 , , ,100 , ,      CNY  中国元,994 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114411  事業-社宅賃借費,37600 ,37600 ,100 ,37600 ,37600 ,100 ,42638 ,37600 ,113 ,*     6114411  事業-社宅賃借費,37600 ,37600 ,100 ,37600 ,37600 ,100 ,47600 ,37600 ,127 ,*     6114411  事業-社宅賃借費,47600 , , , , , , , , ,*     6114411  事業-社宅賃借費, , , , , , , , , 
      CNY  中国元,37600 ,37600 ,100 ,37600 ,37600 ,100 ,42638 ,37600 ,113 ,      CNY  中国元,37600 ,37600 ,100 ,37600 ,37600 ,100 ,47600 ,37600 ,127 ,      CNY  中国元,47600 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114413  事業-教育厚生費, ,284 , , ,284 , ,274 ,284 ,96 ,*     6114413  事業-教育厚生費, ,284 , ,219 ,284 ,77 ,274 ,284 ,96 ,*     6114413  事業-教育厚生費, , , , , , , , , ,*     6114413  事業-教育厚生費, , , , , , , , , 
      CNY  中国元, ,284 , , ,284 , ,274 ,284 ,96 ,      CNY  中国元, ,284 , ,219 ,284 ,77 ,274 ,284 ,96 ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    旅費交通費(事業),6023 ,10087 ,60 ,15360 ,11937 ,129 ,9369 ,12087 ,78 ,**    旅費交通費(事業),12509 ,20457 ,61 ,18487 ,12087 ,153 ,20850 ,10087 ,207 ,**    旅費交通費(事業),14657 , , ,6889 , , , , , ,**    旅費交通費(事業), , , , , , , , , 
*     6114601  事業-国内出張旅費,2610 ,2187 ,119 ,1757 ,2187 ,80 ,4199 ,2187 ,192 ,*     6114601  事業-国内出張旅費,4431 ,2187 ,203 ,9474 ,2187 ,433 ,12537 ,2187 ,573 ,*     6114601  事業-国内出張旅費,10150 , , ,6889 , , , , , ,*     6114601  事業-国内出張旅費, , , , , , , , , 
      CNY  中国元,2610 ,2187 ,119 ,1757 ,2187 ,80 ,4199 ,2187 ,192 ,      CNY  中国元,4431 ,2187 ,203 ,9474 ,2187 ,433 ,12537 ,2187 ,573 ,      CNY  中国元,10150 , , ,6889 , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114602  事業-海外出張旅費, , , ,4223 ,1850 ,228 , ,2000 , ,*     6114602  事業-海外出張旅費,1431 ,10370 ,14 ,1320 ,2000 ,66 ,1848 , , ,*     6114602  事業-海外出張旅費,759 , , , , , , , , ,*     6114602  事業-海外出張旅費, , , , , , , , , 
